sidoname,cityname,pm10value,pm25value,datetime
강원,화천군,80,70,2022-02-26T15:00:00.000Z
강원,횡성군,77,49,2022-02-26T15:00:00.000Z
강원,강릉시,78,35,2022-02-26T15:00:00.000Z
강원,고성군,75,61,2022-02-26T15:00:00.000Z
강원,동해시,53,41,2022-02-26T15:00:00.000Z
강원,삼척시,43,37,2022-02-26T15:00:00.000Z
강원,속초시,61,41,2022-02-26T15:00:00.000Z
강원,양구군,65,62,2022-02-26T15:00:00.000Z
강원,양양군,82,45,2022-02-26T15:00:00.000Z
강원,영월군,63,44,2022-02-26T15:00:00.000Z
강원,원주시,64,38,2022-02-26T15:00:00.000Z
강원,인제군,57,34,2022-02-25T12:00:00.000Z
강원,정선군,66,32,2022-02-25T12:00:00.000Z
강원,철원군,78,50,2022-02-25T12:00:00.000Z
강원,춘천시,67,48,2022-02-25T12:00:00.000Z
강원,태백시,40,19,2022-02-25T12:00:00.000Z
강원,평창군,62,40,2022-02-25T12:00:00.000Z
강원,홍천군,54,39,2022-02-25T12:00:00.000Z
강원,화천군,48,46,2022-02-25T12:00:00.000Z
강원,횡성군,61,45,2022-02-25T12:00:00.000Z
강원,강릉시,123,35,2022-02-26T17:00:00.000Z
강원,고성군,83,62,2022-02-26T17:00:00.000Z
강원,동해시,53,40,2022-02-26T17:00:00.000Z
강원,삼척시,41,37,2022-02-26T17:00:00.000Z
강원,속초시,91,45,2022-02-26T17:00:00.000Z
강원,양구군,60,58,2022-02-26T17:00:00.000Z
강원,양양군,64,63,2022-02-26T17:00:00.000Z
강원,영월군,61,41,2022-02-26T17:00:00.000Z
강원,원주시,59,34,2022-02-26T17:00:00.000Z
강원,강릉시,65,28,2022-02-25T12:00:00.000Z
강원,고성군,53,33,2022-02-25T12:00:00.000Z
강원,동해시,36,30,2022-02-25T12:00:00.000Z
강원,삼척시,23,null,2022-02-25T12:00:00.000Z
강원,속초시,44,25,2022-02-25T12:00:00.000Z
강원,양구군,null,null,2022-02-25T12:00:00.000Z
강원,양양군,51,30,2022-02-25T12:00:00.000Z
강원,영월군,56,39,2022-02-25T12:00:00.000Z
강원,원주시,66,43,2022-02-25T12:00:00.000Z
강원,인제군,29,11,2022-02-24T11:00:00.000Z
강원,정선군,47,14,2022-02-24T11:00:00.000Z
강원,철원군,53,21,2022-02-24T11:00:00.000Z
강원,춘천시,38,22,2022-02-24T11:00:00.000Z
강원,태백시,24,8,2022-02-24T11:00:00.000Z
강원,평창군,29,16,2022-02-24T11:00:00.000Z
강원,홍천군,37,18,2022-02-24T11:00:00.000Z
강원,화천군,28,16,2022-02-24T11:00:00.000Z
강원,횡성군,null,null,2022-02-24T11:00:00.000Z
강원,강릉시,null,null,2022-02-24T11:00:00.000Z
강원,고성군,29,9,2022-02-24T11:00:00.000Z
강원,동해시,34,13,2022-02-24T11:00:00.000Z
강원,삼척시,12,11,2022-02-24T11:00:00.000Z
강원,속초시,19,4,2022-02-24T11:00:00.000Z
강원,양구군,41,34,2022-02-24T11:00:00.000Z
강원,양양군,21,2,2022-02-24T11:00:00.000Z
강원,영월군,34,18,2022-02-24T11:00:00.000Z
강원,원주시,42,25,2022-02-24T11:00:00.000Z
전남,무안군,29,14,2022-02-24T11:00:00.000Z
전남,보성군,34,24,2022-02-24T11:00:00.000Z
전남,순천시,21,13,2022-02-24T11:00:00.000Z
전남,신안군,22,13,2022-02-24T11:00:00.000Z
전남,여수시,27,21,2022-02-24T11:00:00.000Z
전남,영광군,36,27,2022-02-24T11:00:00.000Z
전남,영암군,41,27,2022-02-24T11:00:00.000Z
